seed,customers,group,trucks,drones,distance,travel_cost,total_cost,overall_time,efficiency,status,gap,runtime
1,20,UAVRP,0,4,8.8995,8.8995,108.8995,24.8995,23.7719,TIME_LIMIT,0.0169,60.2
1,20,CVRP,2,0,8.4646,6.7717,106.7717,35.3939,24.1859,OPTIMAL,0.0090,0.6
1,20,VRPD,1,2,9.0141,8.2428,108.2428,16.5702,22.9742,TIME_LIMIT,0.0257,60.2
2,20,UAVRP,0,4,7.9717,7.9717,107.9717,23.9717,23.5121,TIME_LIMIT,0.0150,60.2
2,20,CVRP,2,0,7.5194,6.0156,106.0156,32.5583,23.8078,OPTIMAL,0.0067,1.5
2,20,VRPD,1,2,7.5381,6.7419,106.7419,16.9423,22.7038,TIME_LIMIT,0.0230,60.2
3,20,UAVRP,0,4,8.9018,8.9018,108.9018,24.9018,23.7725,TIME_LIMIT,0.0156,60.2
3,20,CVRP,2,0,8.5281,6.8225,106.8225,35.5842,24.2112,OPTIMAL,0.0075,0.7
3,20,VRPD,1,2,8.5155,7.6437,107.6437,18.0769,22.9749,TIME_LIMIT,0.0211,60.2
4,20,UAVRP,0,4,8.6863,8.6863,108.6863,24.6863,23.7122,TIME_LIMIT,0.0101,60.2
4,20,CVRP,2,0,8.1078,6.4863,106.4863,34.3235,24.0431,OPTIMAL,0.0098,0.2
4,20,VRPD,1,2,8.2434,7.4664,107.4664,16.6549,22.8257,TIME_LIMIT,0.0164,60.1
5,20,UAVRP,0,4,9.3007,9.3007,109.3007,25.3007,23.8842,TIME_LIMIT,0.0206,60.3
5,20,CVRP,2,0,8.2029,6.5623,106.5623,34.6087,24.0812,OPTIMAL,0.0093,1.0
5,20,VRPD,1,2,8.5672,7.7064,107.7064,17.9117,22.9742,TIME_LIMIT,0.0280,60.2
6,20,UAVRP,0,4,7.8461,7.8461,107.8461,23.8461,23.4769,OPTIMAL,0.0097,0.5
6,20,CVRP,2,0,7.5906,6.0725,106.0725,32.7718,23.8362,OPTIMAL,0.0062,0.1
6,20,VRPD,1,2,8.1730,7.5382,107.5382,14.5221,22.6694,TIME_LIMIT,0.0108,60.3
7,20,UAVRP,0,4,8.8086,8.8086,108.8086,24.8086,23.7464,TIME_LIMIT,0.0215,60.2
7,20,CVRP,2,0,7.7612,6.2089,106.2089,33.2835,23.9045,OPTIMAL,0.0097,0.3
7,20,VRPD,1,2,7.9272,7.2605,107.2605,15.0008,22.6522,TIME_LIMIT,0.0125,60.2
8,20,UAVRP,0,4,8.0550,8.0550,108.0550,24.0550,23.5354,TIME_LIMIT,0.0193,60.1
8,20,CVRP,2,0,7.3754,5.9003,105.9003,32.1261,23.7501,OPTIMAL,0.0100,3.0
8,20,VRPD,1,2,7.4322,6.8145,106.8145,14.2655,22.5041,TIME_LIMIT,0.0137,60.2
9,20,UAVRP,0,4,8.2381,8.2381,108.2381,24.2381,23.5867,TIME_LIMIT,0.0199,60.2
9,20,CVRP,2,0,7.7834,6.2267,106.2267,33.3502,23.9134,OPTIMAL,0.0097,1.8
9,20,VRPD,1,2,7.5570,6.7352,106.7352,17.3272,22.7332,TIME_LIMIT,0.0195,60.2
10,20,UAVRP,0,4,9.4419,9.4419,109.4419,25.4419,23.9237,OPTIMAL,0.0100,21.9
10,20,CVRP,2,0,10.0053,8.0043,108.0043,40.0160,24.8021,OPTIMAL,0.0087,0.6
10,20,VRPD,1,2,9.7777,8.9765,108.9765,17.0171,23.1567,TIME_LIMIT,0.0165,60.1
